epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4061,1.74002,3.11487,1.20839,0.03262,0.50675,0.1173,0.03478,1.62764,3.77096,1.14208,0.0002875,0.0002875,0.0002875
2,24.178,1.66666,1.62799,1.15966,0.02039,0.43252,0.19084,0.06977,1.49232,3.64088,1.10648,0.000577806,0.000577806,0.000577806
3,32.8037,1.65716,1.17008,1.19754,0.04382,0.90501,0.596,0.24736,1.50782,2.85766,1.15033,0.000858212,0.000858212,0.000858212
4,41.2136,1.67444,1.08385,1.20308,0.94067,0.52182,0.94154,0.4633,1.64551,1.87071,1.26136,0.00112872,0.00112872,0.00112872
5,48.7939,1.61018,1.02143,1.19784,0.95288,0.93922,0.95641,0.49671,1.5971,1.2478,1.25765,0.0011675,0.0011675,0.0011675
6,57.3534,1.58031,0.9539,1.17506,0.95884,0.96208,0.96494,0.5226,1.55203,1.04155,1.23469,0.00114688,0.00114688,0.00114688
7,64.6553,1.52817,0.93018,1.16596,0.93753,0.94668,0.95782,0.51865,1.58066,0.8695,1.26318,0.00112625,0.00112625,0.00112625
8,72.9186,1.54938,0.91347,1.16411,0.94343,0.96831,0.96477,0.52421,1.53521,0.93068,1.24158,0.00110563,0.00110563,0.00110563
9,81.3539,1.49134,0.90749,1.13893,0.9606,0.96273,0.96287,0.54205,1.52088,0.79166,1.22542,0.001085,0.001085,0.001085
10,88.661,1.52571,0.89063,1.14409,0.95733,0.96434,0.969,0.4972,1.58589,0.80752,1.24651,0.00106437,0.00106437,0.00106437
11,97.18,1.48795,0.86538,1.14277,0.95215,0.95621,0.96203,0.55704,1.48295,0.7705,1.21239,0.00104375,0.00104375,0.00104375
12,105.053,1.45118,0.82683,1.11871,0.94227,0.95983,0.96693,0.55877,1.49177,0.77762,1.20501,0.00102312,0.00102312,0.00102312
13,112.858,1.4306,0.81619,1.10915,0.95112,0.95662,0.96272,0.54898,1.52816,0.74943,1.2352,0.0010025,0.0010025,0.0010025
14,121.195,1.41692,0.79188,1.11782,0.96731,0.97196,0.97436,0.55415,1.48009,0.71647,1.22053,0.000981875,0.000981875,0.000981875
15,128.507,1.44801,0.79068,1.11086,0.96254,0.95412,0.96889,0.58571,1.39472,0.70771,1.18567,0.00096125,0.00096125,0.00096125
16,136.947,1.38556,0.75939,1.1021,0.96521,0.97659,0.97946,0.59679,1.31825,0.68922,1.14725,0.000940625,0.000940625,0.000940625
17,145.148,1.35033,0.77109,1.0986,0.9661,0.95359,0.96979,0.59141,1.39815,0.66574,1.17515,0.00092,0.00092,0.00092
18,152.545,1.38071,0.75539,1.09977,0.93905,0.95849,0.96894,0.59174,1.38657,0.7105,1.16757,0.000899375,0.000899375,0.000899375
19,160.995,1.35945,0.73872,1.06842,0.96486,0.93981,0.97475,0.60979,1.31261,0.66992,1.13441,0.00087875,0.00087875,0.00087875
20,168.288,1.34461,0.74449,1.08145,0.97106,0.97213,0.98655,0.62615,1.32277,0.69232,1.12951,0.000858125,0.000858125,0.000858125
21,176.5,1.31312,0.70877,1.07469,0.97666,0.95926,0.9834,0.63297,1.25288,0.63747,1.1046,0.0008375,0.0008375,0.0008375
22,184.883,1.31749,0.71097,1.09273,0.96317,0.97514,0.98112,0.62128,1.29906,0.64058,1.126,0.000816875,0.000816875,0.000816875
23,192.318,1.30841,0.69137,1.06482,0.96724,0.9667,0.97456,0.62966,1.30727,0.63792,1.12263,0.00079625,0.00079625,0.00079625
24,200.796,1.34777,0.70282,1.07562,0.96008,0.97943,0.98184,0.62127,1.29648,0.6304,1.12031,0.000775625,0.000775625,0.000775625
25,208.162,1.28695,0.66612,1.04822,0.9794,0.96501,0.98247,0.63474,1.28772,0.62699,1.11569,0.000755,0.000755,0.000755
26,216.197,1.25989,0.6617,1.05194,0.98144,0.9758,0.98915,0.65536,1.18904,0.59775,1.0743,0.000734375,0.000734375,0.000734375
27,224.76,1.26867,0.66986,1.05436,0.97725,0.97462,0.98921,0.66421,1.18235,0.60765,1.07684,0.00071375,0.00071375,0.00071375
28,232.228,1.24961,0.6664,1.05173,0.97212,0.97037,0.98192,0.6529,1.22655,0.59754,1.09294,0.000693125,0.000693125,0.000693125
29,240.628,1.21257,0.63756,1.03084,0.97431,0.97599,0.97891,0.63732,1.26178,0.5916,1.09617,0.0006725,0.0006725,0.0006725
30,248.834,1.22173,0.64019,1.03945,0.98149,0.98336,0.99006,0.67245,1.20914,0.57931,1.08765,0.000651875,0.000651875,0.000651875
31,256.206,1.20983,0.63971,1.04878,0.99822,0.98917,0.99314,0.6843,1.15977,0.56684,1.05788,0.00063125,0.00063125,0.00063125
32,264.557,1.18495,0.6177,1.02513,0.98324,0.97876,0.99126,0.6718,1.1991,0.57649,1.08054,0.000610625,0.000610625,0.000610625
33,271.856,1.22543,0.63294,1.05682,0.99636,0.99694,0.99485,0.67855,1.16803,0.58178,1.06314,0.00059,0.00059,0.00059
34,280.231,1.19461,0.61415,1.0191,0.9808,0.99554,0.99313,0.69088,1.16443,0.55909,1.05214,0.000569375,0.000569375,0.000569375
35,288.567,1.16444,0.60271,1.03141,0.9879,0.99091,0.9918,0.66433,1.19824,0.55425,1.06959,0.00054875,0.00054875,0.00054875
36,295.951,1.17293,0.60219,1.01154,0.98633,0.9904,0.99348,0.71181,1.12655,0.5368,1.03948,0.000528125,0.000528125,0.000528125
37,304.412,1.196,0.60939,1.03249,0.98558,0.9812,0.99314,0.714,1.09807,0.54894,1.03633,0.0005075,0.0005075,0.0005075
38,311.903,1.21144,0.62258,1.02787,0.98286,0.9907,0.99441,0.72209,1.09501,0.55429,1.03645,0.000486875,0.000486875,0.000486875
39,319.913,1.1696,0.59893,1.01299,0.978,0.97835,0.98969,0.6764,1.18307,0.56369,1.07321,0.00046625,0.00046625,0.00046625
40,328.374,1.13059,0.57864,1.00501,0.97942,0.98449,0.98945,0.65856,1.23326,0.56563,1.08706,0.000445625,0.000445625,0.000445625
41,335.732,1.15404,0.5918,1.0115,0.99424,0.99424,0.99478,0.69633,1.13463,0.52886,1.0463,0.000425,0.000425,0.000425
42,344.045,1.14394,0.5825,1.01073,0.98251,0.98617,0.99273,0.69734,1.13077,0.52331,1.04068,0.000404375,0.000404375,0.000404375
43,352.245,1.1361,0.57481,1.00454,0.99026,0.9975,0.99468,0.70786,1.10114,0.51753,1.03208,0.00038375,0.00038375,0.00038375
44,359.822,1.12276,0.56655,1.00765,0.99488,0.98921,0.99456,0.71277,1.08691,0.49997,1.03223,0.000363125,0.000363125,0.000363125
45,368.141,1.13212,0.56465,0.9926,0.98743,0.99688,0.99476,0.73882,1.04108,0.5041,1.00979,0.0003425,0.0003425,0.0003425
46,375.573,1.08403,0.56329,0.99369,0.98917,0.98548,0.9935,0.70583,1.10619,0.52049,1.03675,0.000321875,0.000321875,0.000321875
47,383.827,1.08978,0.5552,1.00119,0.98978,0.99897,0.99474,0.72627,1.07619,0.50115,1.0231,0.00030125,0.00030125,0.00030125
48,392.248,1.0909,0.55214,0.99085,0.98435,0.99357,0.99256,0.7285,1.05784,0.4971,1.0192,0.000280625,0.000280625,0.000280625
49,399.8,1.0721,0.545,0.99024,0.99245,0.99395,0.99374,0.72381,1.06477,0.49089,1.01912,0.00026,0.00026,0.00026
50,408.461,1.05718,0.54267,0.97929,0.99179,0.98919,0.9948,0.71817,1.07996,0.49867,1.02078,0.000239375,0.000239375,0.000239375
51,418.451,1.13051,0.56331,1.086,0.98928,0.98319,0.99412,0.70909,1.09513,0.5194,1.02349,0.00021875,0.00021875,0.00021875
52,425.729,1.11978,0.56059,1.07502,0.99094,0.99636,0.9945,0.72582,1.06948,0.50333,1.01728,0.000198125,0.000198125,0.000198125
53,433.986,1.09486,0.54188,1.06668,0.99141,0.99761,0.99451,0.72062,1.08818,0.49336,1.02341,0.0001775,0.0001775,0.0001775
54,441.052,1.09911,0.53804,1.04382,0.98629,0.98392,0.99339,0.71819,1.06615,0.50357,1.02525,0.000156875,0.000156875,0.000156875
55,448.997,1.07069,0.53185,1.0509,0.98681,0.9912,0.99417,0.72792,1.02737,0.49627,1.00759,0.00013625,0.00013625,0.00013625
56,457.127,1.04091,0.52507,1.03128,0.9822,0.99659,0.99423,0.74384,1.00002,0.48395,0.99766,0.000115625,0.000115625,0.000115625
57,464.252,1.05611,0.53284,1.04497,0.98154,0.989,0.99188,0.74353,0.99731,0.48378,0.99756,9.5e-05,9.5e-05,9.5e-05
58,472.452,1.04772,0.53126,1.0342,0.98455,0.99195,0.99447,0.73648,1.00726,0.48294,0.99915,7.4375e-05,7.4375e-05,7.4375e-05
59,479.388,1.0364,0.52701,1.03594,0.98877,0.99569,0.99462,0.74269,1.01364,0.48076,0.99957,5.375e-05,5.375e-05,5.375e-05
